index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,IV Q 2012,II Q 2013,IV Q 2013,II Q 2014,IV Q 2010,IV Q 2011,II Q 2012
Przychody netto ze sprzedaÅ¼y (tys. euro),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. euro),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. euro),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) netto (tys. euro),0,0,0,0,0,0,0,0,0,0,0
Amortyzacja (tys. euro),0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. euro),0,0,0,0,0,0,0,0,0,0,0
Aktywa (tys. euro),970200,969600,1022100,1137300,780500,859900,927400,956300,702700,691700,683100
Kapital wlasny (tys. euro),361600,345800,327200,381200,375800,404400,393900,369100,309000,327700,333900
Liczba akcji (tys. szt.),"249425,087","249425,087","249425,087","249425,087","249425,087","249425,087","249425,087","249425,087","249425,087","249425,087","249425,087"
Zysk na akcje (euro),"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (euro),"1,450","1,386","1,312","1,528","1,507","1,621","1,579","1,480","1,239","1,314","1,339"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N
